X_COORD;Y_COORD
9.00271;50.07885
9.01181;49.48316
9.01843;50.17803
9.02483;50.04519
9.03397;49.93622
9.04048;50.09695
9.04386;49.41291
9.04931;50.09366
9.05013;50.09796
9.06569;49.97758
9.07624;49.96496
9.08440;50.16243
9.12715;49.97463
9.14514;49.88047
9.14712;49.83236
9.16259;49.79907
9.17016;49.78207
9.17765;50.18635
9.18383;49.76115
9.19788;50.19491
9.22315;50.21212
9.22730;49.70565
9.22828;49.70482
9.24602;49.71063
9.28028;49.97754
9.28573;50.25837
9.29806;50.31196
9.51222;50.35510
9.53494;49.77540
